Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-1) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:03
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
drbd2             0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   16.14   2.86   0.40
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.80     0.00     6.40     8.00     0.01    7.75   5.50   0.44
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    3.60     0.00    28.80     8.00     0.03    7.33   1.78   0.64
dm-11             0.00     0.00    0.00   41.60     0.00   332.80     8.00     0.51   12.21   0.28   1.16
dm-12             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd3             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd4             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    2.60     0.00    20.80     8.00     0.02    6.46   2.38   0.62
dm-15             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd5             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:18
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda              12.60   103.60    1.40  366.00   116.80  3756.80    10.54    19.09   51.95   0.52  19.18
sdb               0.00     2.80    0.00    3.80     0.00    52.80    13.89     0.04   10.26   3.47   1.32
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.80     0.00    22.40     8.00     0.08   29.86  22.64   6.34
dm-1              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.02   11.88   1.75   0.28
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd0             0.00     0.00    0.00    1.60     0.00    11.20     7.00     0.02   12.88   2.87   0.46
drbd1             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd2             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   14.71   3.29   0.46
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    2.40     0.00    19.20     8.00     0.02    7.42   2.25   0.54
dm-11             0.00     0.00    0.00   57.20     0.00   457.60     8.00     0.78   13.67   0.22   1.26
dm-12             0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.05  230.00 230.00   4.60
drbd3             0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.05  230.00 230.00   4.60
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd4             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    5.20     0.00    41.60     8.00     0.06   11.42   1.73   0.90
dm-15             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
