C	D	E	F	G	H	I	J	K	L
62.7	73.1	58.1	60.9	61.4	60.2	77.5	81.6	60.6	60.1
61.7	73.0	67.2	61.2	63.1	64.8	82.0	90.9	62.6	59.2
66.7	77.6	61.2	62.6	60.1	69.1	83.9	92.8	61.5	65.7
62.2	73.0	67.2	57.3	63.2	59.6	81.4	88.0	62.2	58.8
58.1	74.5	59.2	59.2	59.2	56.7	85.3	84.4	67.0	62.8
61.7	69.1	62.2	61.7	62.1	60.2	77.4	88.9	62.6	64.2
60.7	76.3	61.2	62.2	60.6	62.2	80.5	91.0	60.1	61.2
66.2	70.4	65.6	59.2	64.2	63.6	84.8	94.0	62.2	62.7
61.4	73.8	63.5	60.7	62.2	61.6	80.9	85.3	59.2	62.1
59.7	71.1	61.9	62.5	60.7	62.8	81.0	83.8	63.2	58.7
62.2	74.9	63.7	68.2	63.2	59.7	79.6	89.0	60.2	65.2
62.2	70.3	59.2	62.8	62.2	58.7	80.1	87.0	57.7	61.2
63.1	73.8	67.1	63.5	62.6	60.5	87.0	89.6	62.7	63.2
68.7	73.5	61.6	61.4	63.5	62.4	77.8	85.1	62.6	60.2
60.7	71.2	59.7	62.0	61.2	61.7	87.5	84.5	63.7	64.0
59.7	68.6	59.7	67.5	60.7	57.1	80.5	85.4	59.2	62.7
58.7	69.6	59.2	60.7	66.2	59.7	82.1	81.6	62.2	63.1
64.2	76.6	60.7	62.6	63.7	59.2	85.4	87.5	61.7	63.6
65.2	73.1	61.1	59.2	60.6	65.2	85.7	87.6	62.7	59.1
59.5	73.1	66.5	61.1	58.2	60.7	79.4	88.5	60.2	64.2
62.7	72.7	55.7	59.2	64.7	61.7	80.6	85.5	64.2	62.7
58.6	72.7	61.7	63.3	58.1	61.2	82.1	82.4	59.7	60.2
63.1	73.0	62.0	63.2	68.5	63.7	89.0	86.6	65.1	58.5
60.7	67.7	64.6	61.7	59.1	62.7	83.6	87.5	58.1	58.4
63.2	72.0	65.0	60.2	60.6	63.9	79.5	87.5	60.1	60.7
58.7	69.5	58.7	60.2	59.7	62.1	86.0	86.8	65.7	58.6
60.7	73.6	58.7	66.6	63.2	62.7	81.1	83.5	59.2	61.2
63.7	72.8	61.3	66.7	65.6	60.2	80.9	85.4	62.2	61.2
61.2	70.2	59.2	58.7	61.2	57.2	89.7	83.6	60.1	58.7
63.2	71.2	61.6	60.2	64.9	63.0	80.3	86.8	60.6	63.2
65.7	69.8	57.6	61.7	59.2	63.1	85.4	85.2	60.1	61.6
62.2	73.9	61.6	63.2	62.1	62.2	81.3	85.4	61.9	61.7
67.5	76.6	63.6	62.9	64.7	60.2	80.6	84.1	63.7	63.1
61.2	72.1	61.7	61.2	59.7	58.7	82.6	81.9	57.5	59.5
64.1	72.0	61.7	64.7	64.5	61.3	84.7	90.1	58.5	57.1
59.2	69.6	69.2	59.6	60.1	65.6	80.8	85.0	64.1	63.2
63.3	68.6	64.7	57.7	61.7	58.7	83.4	83.9	61.2	62.8
63.2	77.6	61.5	67.7	67.6	63.2	86.9	89.0	62.7	65.0
57.7	73.2	63.1	64.2	61.1	61.6	81.0	82.3	64.1	60.6
62.7	68.7	61.6	59.2	66.6	59.7	80.0	86.7	60.7	60.1
60.6	72.4	66.1	60.6	59.7	64.3	78.8	84.8	56.7	60.1
60.6	72.6	60.6	59.2	59.6	62.7	84.4	89.0	67.0	58.7
63.6	73.1	62.7	67.2	60.1	63.7	81.8	80.7	60.7	63.0
58.6	70.6	61.6	62.1	62.6	61.1	85.5	84.0	60.7	61.7
60.2	69.7	62.2	56.1	59.1	60.6	78.3	85.4	55.7	61.7
56.6	74.1	58.7	62.2	62.6	61.7	77.8	84.9	59.5	63.1
56.7	70.7	61.9	63.5	62.6	61.7	78.4	82.6	59.1	59.2
63.6	70.1	59.7	62.2	64.2	62.2	87.5	88.6	63.0	64.2
62.1	72.1	61.2	62.1	59.7	61.2	84.0	87.9	60.2	65.3
61.2	77.5	60.2	61.2	58.0	62.1	80.2	86.1	60.9	64.5
62.6	69.6	61.7	64.2	59.7	63.1	79.9	87.1	62.0	63.1
60.0	74.0	67.2	61.1	58.2	63.2	80.5	82.7	60.2	64.3
60.9	72.3	65.2	62.6	63.2	61.0	82.4	88.5	66.2	65.7
64.0	71.6	62.7	63.9	60.6	59.6	84.1	86.9	58.6	59.2
59.6	73.9	59.2	59.8	58.9	62.6	76.1	83.2	59.2	62.0
61.2	69.5	58.7	63.2	58.8	65.2	81.6	89.0	56.2	60.2
60.7	75.4	63.2	58.2	63.7	58.1	83.7	83.8	58.0	63.2
61.2	68.2	65.7	64.6	62.7	59.6	81.5	83.5	64.7	65.2
60.7	76.6	61.2	59.2	58.6	63.9	89.0	85.9	59.9	59.7
59.2	70.7	62.1	61.6	60.0	61.9	80.0	81.8	59.7	60.2
61.2	72.6	61.2	61.7	59.5	59.5	84.0	87.1	58.1	62.7
62.0	75.5	62.1	64.7	60.5	60.6	83.9	89.1	61.4	65.1
62.4	69.1	63.1	66.7	64.6	61.6	79.4	86.5	64.2	63.7
59.2	72.8	60.7	67.2	63.2	63.6	82.1	88.9	63.0	60.2
61.2	72.1	62.7	58.2	60.1	60.2	87.2	85.2	61.7	59.1
60.8	74.1	60.2	60.6	61.2	60.1	79.5	82.0	61.2	60.5
61.7	72.3	58.2	63.6	60.2	59.7	82.0	87.9	61.6	64.7
62.7	76.5	64.0	67.6	66.7	61.6	80.9	87.4	60.6	63.0
61.2	75.0	59.2	60.2	61.6	65.1	82.6	86.5	60.6	60.7
59.7	75.1	63.7	61.0	61.7	63.2	82.6	84.1	59.6	57.2
60.7	71.5	61.7	62.5	61.6	58.2	81.9	86.5	62.1	59.2
60.2	74.9	57.9	64.2	65.5	64.6	80.9	84.8	59.1	63.8
63.1	72.7	64.5	66.6	66.1	61.2	82.1	90.3	63.6	69.5
64.6	77.1	60.1	60.7	62.1	58.7	83.1	83.1	62.2	61.4
58.2	70.6	60.7	68.7	62.7	59.2	84.9	86.5	63.2	61.1
58.7	71.5	64.1	62.2	62.5	62.2	81.4	84.9	66.2	62.2
65.6	71.4	56.2	64.2	57.7	69.6	77.7	85.5	58.7	57.7
65.1	75.5	66.6	63.1	65.7	65.0	79.6	89.9	63.1	69.0
58.7	78.0	62.6	62.4	61.2	61.2	80.0	80.5	61.1	61.1
57.7	70.0	59.2	65.2	64.6	60.7	82.0	82.1	62.4	60.0
56.7	73.3	59.7	60.7	61.1	59.2	83.0	86.4	61.2	60.5
62.2	68.9	60.7	57.7	58.6	60.6	77.5	87.0	62.2	58.7
69.1	73.6	62.7	59.5	60.7	69.4	80.9	91.6	63.7	65.2
57.7	77.5	58.7	62.5	57.2	62.6	79.0	86.0	59.2	64.1
60.1	73.0	63.1	60.1	62.5	60.2	77.5	82.4	61.7	58.2
60.1	68.5	58.7	60.6	64.6	57.7	82.4	84.2	60.2	55.7
58.8	71.7	65.2	59.2	62.7	60.5	83.2	85.9	61.7	63.0
68.1	69.7	59.6	64.6	62.7	63.2	81.4	86.8	62.6	61.6
58.1	79.1	64.7	58.7	61.2	63.9	82.0	87.6	61.1	61.6
55.2	71.5	63.2	60.2	62.0	61.5	76.0	82.1	58.6	61.2
61.6	74.0	61.0	66.5	60.1	62.1	80.5	83.1	60.7	61.2
59.2	68.8	60.6	66.1	64.8	59.1	80.6	82.3	60.7	60.6
64.7	70.7	64.0	62.4	62.1	63.6	86.8	86.1	61.1	66.4
65.0	70.2	59.2	61.6	61.0	63.4	84.0	91.4	58.2	62.9
61.2	73.1	65.6	56.6	63.6	58.1	78.4	83.3	60.2	59.2
60.2	69.7	63.7	62.2	63.7	59.7	80.9	80.9	60.9	61.7
63.1	69.1	59.6	64.0	64.0	59.2	88.0	84.6	60.6	57.7
64.7	70.2	61.7	65.2	60.7	62.7	84.6	85.1	62.4	64.1
64.1	74.1	61.2	58.7	60.6	62.6	82.1	87.7	61.1	63.2
60.2	72.2	61.4	61.2	62.7	62.6	80.6	88.4	59.2	60.7
62.2	72.2	61.0	60.4	60.1	59.6	80.1	81.7	63.1	66.2
60.2	73.1	61.2	64.9	66.0	62.7	82.0	83.6	60.7	58.7
64.2	70.2	68.1	66.7	67.0	59.7	82.4	84.5	61.6	63.0
61.6	75.4	60.2	56.9	63.4	65.2	78.5	86.5	61.6	61.0
63.2	70.5	61.2	60.1	61.7	62.2	78.9	89.9	59.1	68.0
59.2	68.2	59.8	62.2	59.1	58.2	81.6	82.5	62.1	61.7
58.7	74.6	60.7	62.6	63.1	61.5	79.9	83.1	55.7	59.2
63.5	69.0	61.2	66.5	62.8	61.5	80.1	82.0	66.0	63.6
61.2	75.0	63.6	62.6	63.2	65.1	83.6	87.1	57.5	61.2
62.5	69.6	62.1	60.7	59.2	64.5	80.1	81.5	62.0	65.2
60.1	70.7	58.2	60.2	60.7	62.5	80.9	87.8	61.2	61.7
62.2	67.3	60.1	62.2	59.1	64.1	80.6	80.5	58.6	62.7
60.2	70.2	59.2	62.1	61.2	61.2	84.1	83.6	67.1	64.6
57.8	73.6	61.2	64.1	62.2	65.1	81.5	83.6	60.4	63.7
59.7	67.7	58.7	61.7	59.7	62.5	80.4	84.4	61.7	60.7
57.2	73.0	63.8	62.2	58.7	64.6	81.6	86.1	60.7	63.4
63.6	68.1	59.2	63.6	60.2	61.7	81.8	86.8	65.2	61.1
59.6	69.2	57.9	63.2	62.2	62.2	80.5	87.1	61.9	59.2
63.2	74.6	68.1	65.7	61.7	62.7	82.3	86.5	60.7	65.6
61.7	68.6	60.1	61.2	59.2	63.7	79.1	82.1	61.1	60.0
58.6	75.1	63.6	60.6	59.1	60.7	83.6	86.0	59.2	62.2
60.2	69.1	61.7	63.1	61.7	61.1	81.4	86.8	61.1	59.2
59.1	69.4	58.7	66.5	61.6	59.7	81.6	84.6	57.5	59.6
60.6	75.1	61.5	62.0	65.4	63.2	86.9	85.0	58.1	67.2
60.6	74.6	61.2	63.7	64.5	62.6	81.6	79.4	58.7	58.6
63.5	74.5	66.2	60.7	61.6	62.0	79.8	83.2	58.7	65.2
60.6	71.9	62.2	60.7	65.7	59.7	84.8	81.1	61.7	58.6
59.2	67.6	57.7	63.2	64.7	62.4	89.7	81.4	63.6	58.6
62.7	72.6	62.1	59.2	65.2	65.6	86.7	88.8	63.7	66.6
60.2	71.7	60.2	62.7	61.5	60.7	80.7	78.6	61.7	63.7
63.1	70.5	59.1	62.7	63.6	65.8	78.6	80.0	61.7	61.2
58.9	70.5	65.0	62.1	59.2	59.6	83.5	86.1	63.6	60.3
60.6	66.7	62.7	60.7	61.7	59.6	80.6	83.5	56.7	58.4
63.7	75.4	59.7	62.1	69.1	64.6	79.6	87.1	63.2	66.1
60.7	70.1	60.2	58.6	59.7	59.6	85.6	80.1	59.7	62.1
64.1	68.6	61.7	60.2	64.0	62.2	81.2	81.1	60.2	61.1
60.0	71.5	65.6	60.2	61.2	61.2	81.2	81.9	60.2	63.5
59.5	69.5	64.1	61.7	60.7	60.7	78.0	83.1	61.2	61.1
65.8	68.0	63.9	63.1	61.2	64.2	84.1	82.0	62.7	62.6
58.4	69.7	61.2	60.7	63.9	64.5	86.0	83.6	61.0	57.7
63.5	73.2	58.7	58.7	59.1	59.6	78.6	83.1	58.9	65.7
63.3	74.1	64.7	66.7	62.9	63.6	79.3	82.6	59.7	62.0
59.9	76.4	59.6	57.8	63.7	60.6	79.1	86.2	62.7	61.7
65.0	69.5	62.7	64.6	57.2	66.2	81.5	84.8	63.4	61.6
56.7	67.0	61.1	60.7	63.2	60.2	91.0	87.9	58.0	59.2
59.2	73.0	63.1	58.1	61.7	62.4	81.3	78.1	62.2	59.6
63.7	67.4	61.2	61.2	60.6	62.2	81.0	77.4	58.0	64.2
61.4	74.5	66.5	59.7	61.0	60.2	81.5	85.1	63.1	64.0
61.0	73.1	67.1	63.1	62.1	62.0	83.5	81.3	62.7	68.5
60.6	70.1	62.2	61.0	61.2	61.1	91.6	79.6	58.7	60.2
57.2	67.2	62.7	57.7	59.7	65.6	82.9	87.5	59.2	60.5
60.6	69.5	57.2	62.6	57.7	63.6	83.4	81.0	60.0	61.0
61.9	71.2	62.6	57.1	55.7	61.7	79.5	81.1	60.7	66.0
63.7	74.9	63.1	63.2	62.7	62.7	78.8	82.8	67.2	63.2
59.6	68.1	59.7	63.2	61.7	62.8	81.9	80.1	54.8	65.2
61.2	66.1	55.2	60.6	61.0	65.2	84.1	83.4	58.7	59.1
61.7	69.1	61.2	63.2	60.7	65.6	83.0	82.5	58.2	62.7
59.1	70.2	64.1	61.5	57.6	61.3	77.5	84.5	61.6	65.1
64.2	74.0	60.2	65.5	62.1	59.2	78.7	85.4	63.7	62.2
62.2	71.4	62.7	66.1	61.0	58.7	87.1	79.0	60.5	64.1
59.7	69.6	60.1	58.7	64.2	62.8	85.0	80.5	59.2	60.2
62.7	72.4	58.2	59.2	59.2	62.2	80.8	84.7	61.1	60.6
61.7	68.5	63.7	58.0	58.7	60.7	80.8	83.0	63.1	65.2
60.2	77.3	60.6	63.7	58.7	63.2	79.9	80.5	64.6	67.1
57.7	70.5	60.2	65.6	63.2	59.2	83.0	85.0	62.0	60.2
58.7	69.2	59.1	68.1	63.1	60.7	79.2	81.4	60.7	61.7
63.2	68.6	59.0	57.6	58.6	64.0	86.1	86.9	61.7	60.7
60.1	71.7	62.2	60.1	59.1	63.7	78.4	82.7	57.7	65.7
58.2	76.7	64.1	66.1	60.2	61.6	77.1	84.2	60.2	65.7
