procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 986796 119964 229244 296512    0    0    51 10382 21022 18467 36 31 28  5  0	
 2  0 986796 120376 229552 296548    0    0    51 10393 21045 18831 35 28 35  3  0	
 3  0 986796 119400 229840 296580    0    0    51  9776 20664 18492 36 28 33  3  0	
 2  0 986796 119384 230160 296624    0    0    51 10602 21058 17823 37 29 31  3  0	
 1  0 986796 118408 230460 296668    0    0    51 10446 21252 18353 37 29 31  3  0	
 3  0 986796 115196 230768 296724    0    0    51 10351 20814 18770 35 29 33  3  0	
 2  0 986796 118144 231052 296756    0    0    51 10306 21082 19112 34 28 35  3  0	
 1  0 986796 118276 231368 296792    0    0    51 10425 21128 18948 34 27 35  4  0	
 2  0 986796 117028 231676 296840    0    0    51  4950 21156 19923 32 30 35  3  0	
 2  1 986796 117648 232004 296872    0    0    51   858 21263 20534 28 26 42  4  0	
 2  0 986796 116532 232320 296928    0    0    51   887 21243 20161 32 30 34  4  0	
 1  0 986796 116680 232628 296960    0    0    51  1353 21294 20334 28 27 41  4  0	
 2  0 986796 121948 223900 296832    0    0    51   917 21232 19782 33 33 30  3  0	
 2  1 986796 124724 224268 296860    0    0    51   930 21437 20700 29 26 41  4  0	
 0  1 986796 122552 224580 296920    0    0    51   874 21372 20448 31 29 36  4  0	
 3  0 986796 124228 224888 296956    0    0    51  9207 21147 19278 33 28 34  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 986796 123252 225180 297004    0    0    51 10294 21030 19671 30 27 39  4  0	
13  0 986796 123708 225480 297052    0    0    51 10244 20689 19298 33 30 33  3  0	
 5  0 986796 123112 225772 297088    0    0    51 10563 20675 19356 31 26 39  3  0	
 3  0 986796 122848 226068 297136    0    0    51 10418 20912 19160 34 31 33  3  0	
 3  0 986796 122368 226384 297160    0    0    51 10616 21511 19978 32 25 39  4  0	
 4  1 986796 122724 226688 297200    0    0    51 10594 21225 19488 33 31 34  2  0	
 0  1 986796 121624 226984 297240    0    0    51 10370 21412 19861 31 27 40  3  0	
 5  0 986796 119972 227300 297288    0    0    51 10611 21355 19831 33 29 34  3  0	
 4  0 986796 119212 227596 297348    0    0    51 10409 21352 19745 33 28 35  3  0	
 2  0 986796 121144 227896 297380    0    0    51 10564 20998 19690 32 29 36  3  0	
 4  0 986796 120260 228204 297420    0    0    51  2067 21396 20497 29 28 39  3  0	
 2  0 986796 117088 228512 297452    0    0    51   870 21362 20382 31 29 37  4  0	
 4  0 986796 119508 228876 297484    0    0    51  1055 21389 20319 31 28 37  4  0	
 1  1 986796 119656 229200 297520    0    0    51   908 21347 20296 29 29 39  4  0	
 1  0 986796 118988 229528 297564    0    0    51   865 21165 19726 32 32 33  3  0	
 5  1 986796 118880 229864 297612    0    0    51   948 21450 20633 28 25 43  4  0	
 1  0 986796 118168 230196 297672    0    0    51   922 21174 20097 30 30 35  5  0	
 1  0 986796 118384 230504 297700    0    0    51   989 21236 20286 30 27 39  5  0	
 2  0 986796 117052 230812 297740    0    0    51  3494 20875 19151 36 29 32  4  0	
 1  0 986796 117548 231148 297772    0    0    51 10262 21452 18635 35 29 33  4  0	
 1  0 986796 116780 231456 297820    0    0    51 10354 21045 18925 35 30 32  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 986796 116400 231756 297876    0    0    51 10326 21469 19815 33 27 37  3  0	
 6  0 986796 125476 222796 296924    0    0    51 10526 20911 19192 31 30 36  3  0	
 3  0 986796 124460 223104 296968    0    0    51 10231 21138 18331 35 27 35  3  0	
 4  0 986796 124708 223424 297016    0    0    51 10616 20856 18210 38 31 29  3  0	
 4  0 986796 125104 223760 297116    0    0    63 10585 21047 18639 33 26 37  4  0	
 4  0 986796 121140 224048 297156    0    0    51 10217 20680 18212 37 32 28  3  0	
 1  0 986796 124608 224352 297196    0    0    51 10474 21153 18087 37 26 34  3  0	
 1  0 986796 124460 224636 297240    0    0    51 10618 21071 18141 36 29 32  3  0	
 1  0 986796 124212 224948 297280    0    0    51 10610 21147 18210 38 30 30  2  0	
 0  0 986796 121908 225252 297324    0    0    51  7588 21241 19528 32 28 37  3  0	
 2  0 986796 123360 225568 297364    0    0    51   749 21070 19988 33 31 34  3  0	
 2  1 986796 122260 225884 297400    0    0    51  1278 21222 20449 31 26 38  5  0	
 2  1 986796 122360 226200 297440    0    0    58   817 21153 20153 33 30 33  4  0	
 6  0 986796 120880 226516 297488    0    0    51   424 21173 20495 28 25 43  4  0	
 0  0 986796 121592 226816 297528    0    0    51   843 21084 19739 31 31 36  3  0	
 2  0 986796 121144 227132 297568    0    0    51   944 21129 20381 27 27 42  4  0	
 4  1 986796 120840 227448 297608    0    0    51   953 20897 19549 32 31 34  4  0	
 2  0 986796 120268 227780 297640    0    0    51   877 21405 20692 30 27 38  4  0	
 3  1 986796 118848 228080 297684    0    0    51   890 21138 20091 31 30 35  4  0	
 2  1 986796 119516 228408 297724    0    0    51   914 21179 20487 28 26 41  5  0	
 2  1 986796 115684 228744 297756    0    0    51   943 21277 20188 30 28 37  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 986796 118772 229068 297796    0    0    51   846 21190 20105 32 29 35  4  0	
 1  2 986796 119144 229376 297848    0    0    51   951 21521 20563 29 26 41  4  0	
 0  0 986796 118260 229696 297880    0    0    51   913 21012 19646 32 33 32  3  0	
 0  0 986796 118408 230036 297936    0    0    51   919 21459 20774 29 26 41  4  0	
 1  0 986796 117244 230368 297972    0    0    51   890 21132 19848 32 32 33  3  0	
 6  0 986796 117904 230692 298016    0    0    51   937 21530 20848 29 25 41  5  0	
 4  0 986796 114136 230992 298068    0    0    51   958 20897 19729 33 33 30  4  0	
 1  0 986796 116788 231336 298096    0    0    51  7513 21214 18156 37 28 31  4  0	
 4  0 986796 125740 222264 297812    0    0    51  8900 20790 18337 36 30 31  3  0	
 2  1 986796 125700 222620 297820    0    0    70  1694 21465 20171 31 28 37  4  0	
 1  0 986796 124624 222912 297984    0    0    51 10122 21278 16700 42 30 25  3  0	
 1  0 986796 124716 223220 298020    0    0    51  7030 21411 19330 32 28 37  3  0	
 3  0 986796 124128 223528 298068    0    0    52 10267 20755 17875 38 30 29  3  0	
 3  0 986796 124088 223836 298112    0    0    58 10280 21152 18888 34 27 35  4  0	
 4  0 986796 119800 224128 298148    0    0    51 10413 20956 18580 36 29 32  3  0	
 1  0 986796 123848 224428 298184    0    0    51  4931 21217 20241 31 28 37  4  0	
 1  0 986796 123012 224744 298228    0    0    51  1869 21414 20156 31 28 37  5  0	
 3  0 986796 123136 225060 298268    0    0    51  9291 21042 17897 39 29 30  3  0	
 0  0 986796 122112 225388 298300    0    0    51   873 21337 20302 29 28 39  4  0	
 2  2 986796 122492 225728 298356    0    0    51   910 21416 20233 31 30 35  3  0	
 4  1 986796 121864 226052 298392    0    0    51   881 21573 20388 30 28 38  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 986796 121276 226384 298436    0    0    51  5466 21049 19546 33 30 34  4  0	
 0  0 986796 120368 226700 298484    0    0    51 10161 21115 19461 34 28 35  4  0	
 1  0 986796 120600 227008 298504    0    0    51 10306 21164 18916 35 29 33  3  0	
 2  0 986796 118624 227316 298556    0    0    51  6126 21295 19537 33 28 36  3  0	
 3  1 986796 120368 227644 298596    0    0    51   900 21254 20247 31 31 35  3  0	
 1  0 986796 119804 227980 298644    0    0    51   934 21398 20655 28 27 42  4  0	
 0  0 986796 119144 228300 298660    0    0    51   942 21433 20262 32 31 33  4  0	
 2  5 986796 118556 228608 298692    0    0    51   914 21649 20657 28 27 41  3  0	
 2  1 986796 118228 228952 298752    0    0    51   885 21310 20329 32 30 34  4  0	
 1  1 986796 117440 229300 298780    0    0    51   922 21338 20547 30 27 39  5  0	
 4  0 986796 117360 229640 298840    0    0    51   934 21183 20482 30 27 38  5  0	
 2  0 986796 117168 229932 298872    0    0    51   914 21185 19962 31 31 34  4  0	
 3  0 986796 118660 230264 299668    0    0   202  7413 21098 19364 32 26 37  5  0	
 3  0 986796 117604 230580 299880    0    0    85 10614 20434 18262 37 31 30  3  0	
 6  0 986796 119264 230864 299912    0    0    51 10278 21042 19355 33 25 38  4  0	
 3  2 986796 128656 221660 299232    0    0    52 10619 20709 18464 37 30 30  3  0	
 2  0 986796 128788 221956 299280    0    0    51 10554 20685 19176 33 27 37  3  0	
 1  0 986796 127732 222248 299328    0    0    51  8509 20686 19242 35 29 32  3  0	
 0  0 986796 127848 222568 299352    0    0    53  8800 20892 19707 32 26 38  4  0	
 0  1 986796 126460 222908 299396    0    0    51  6003 20834 19322 33 29 35  4  0	
 1  0 986796 126452 223228 299432    0    0    51 10407 20984 19413 33 27 37  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
