procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1170284 120532 298148 246808    0    0    51 10410 21679 19452 39 33 25  3  0	
 0  1 1170284 120300 298440 246844    0    0    51 10257 22428 21223 35 27 35  3  0	
 5  2 1170284 119416 298716 246892    0    0    51 10607 21697 19223 41 33 23  3  0	
 1  1 1170284 119556 298988 246940    0    0    51  5337 22792 22053 32 28 38  3  0	
 5  0 1170284 115748 299272 246996    0    0    51   772 22415 21117 35 33 29  3  0	
 0  0 1170284 118532 299560 247020    0    0    51   902 22793 22034 32 28 36  4  0	
 2  0 1170284 118324 299840 247080    0    0    51  1340 22180 20988 35 33 29  3  0	
 0  0 1170284 118664 300132 247112    0    0    58   925 22451 21615 34 30 32  5  0	
 0  0 1170284 117704 300416 247176    0    0    51   853 22185 21220 34 31 31  4  0	
 1  0 1170284 118044 300708 247204    0    0    51   920 22316 21618 34 29 33  4  0	
 1  1 1170284 117208 300980 247248    0    0    51  8203 21914 20120 37 32 27  4  0	
 0  2 1170284 117060 301272 247288    0    0    51 10302 22288 20714 34 29 33  3  0	
 9  1 1170284 113112 301552 247332    0    0    51 10577 22192 20745 34 30 34  3  0	
 1  1 1170284 116704 301832 247368    0    0    51 10329 22448 20998 34 29 33  3  0	
 1  0 1170284 115812 302104 247432    0    0    51 10438 22168 20836 34 30 33  3  0	
 4  0 1170284 117472 302376 247476    0    0    51 10608 22074 20629 36 30 31  3  0	
 0  0 1170284 115564 302656 247516    0    0    51 10543 21879 20475 38 32 28  2  0	
 3  0 1170284 115472 302936 247560    0    0    51 10368 22269 20967 36 30 31  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 1170284 114836 303216 247604    0    0    51 10441 22111 20854 36 29 32  3  0	
 4  1 1170284 114340 303488 247640    0    0    51 10605 22160 20724 35 29 33  3  0	
