procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 1015328 117264 173444 264892    0    0    51 10005 22422 20056 40 31 27  2  0	
 3  0 1015328 119180 173772 264928    0    0    51 10379 22248 20109 44 32 21  2  0	
 3  0 1015328 119212 174096 264984    0    0    51 10389 22636 20577 39 30 27  3  0	
 3  0 1015328 118212 174452 265016    0    0    51 10178 22081 19218 47 32 19  2  0	
 4  0 1015328 118560 174804 265072    0    0    51 10444 22558 20371 42 29 27  2  0	
 2  0 1015328 116212 175116 265128    0    0    51 10362 22198 20431 43 32 23  2  0	
 3  0 1015328 117468 175420 265172    0    0    51  9900 22204 20349 39 31 27  3  0	
 2  0 1015328 116996 175752 265200    0    0    51  8108 22482 21098 40 32 25  3  0	
 5  1 1015328 117080 176128 265248    0    0    51   896 22358 21619 36 31 29  4  0	
 2  1 1015328 125916 166916 264936    0    0    51   834 22554 21628 37 31 29  3  0	
 0  0 1015328 125916 167356 264992    0    0    51  1318 22760 21793 37 32 28  3  0	
 6  0 1015328 121884 167804 265032    0    0    51   923 22699 21840 37 32 28  3  0	
 2  0 1015328 124940 168216 265080    0    0    51   890 22987 22254 35 31 31  4  0	
 2  0 1015328 123932 168568 265104    0    0    53   830 22384 21406 39 33 25  3  0	
 2  0 1015328 124196 168928 265164    0    0    51  5213 22574 21273 39 33 25  3  0	
 2  0 1015328 122940 169264 265208    0    0    51 10094 22486 21578 39 30 28  3  0	
 1  0 1015328 123576 169580 265248    0    0    51 10638 22234 20463 41 32 24  3  0	
 3  0 1015328 122296 169916 265392    0    0    72 10213 22542 21275 41 30 27  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1015328 123196 170236 265440    0    0    51 10598 22087 20670 39 33 26  2  0	
 6  0 1015328 120304 170576 265468    0    0    51 10438 22999 21833 37 28 32  3  0	
 2  0 1015328 121668 170876 265524    0    0    51 10618 21926 20463 39 35 24  2  0	
 1  0 1015328 120592 171224 265556    0    0    51 10174 22696 21628 37 29 32  2  0	
 4  1 1015328 120932 171536 265608    0    0    51 10616 21906 20548 41 34 23  2  0	
 1  0 1015328 120096 171872 265656    0    0    58 10436 22792 21778 36 29 31  4  0	
 7  0 1015328 116164 172188 265708    0    0    51 10615 21902 20575 41 33 23  2  0	
 4  0 1015328 119352 172556 265740    0    0    51  6415 22780 21948 37 28 33  2  0	
 7  0 1015328 119700 172912 265780    0    0    51   875 22582 21695 39 31 27  3  0	
 0  0 1015328 118732 173324 265828    0    0    51   914 22955 22140 38 32 27  4  0	
 3  0 1015328 117716 173704 265868    0    0    51  1004 22969 22071 35 30 32  3  0	
 2  0 1015328 117988 174088 265904    0    0    51   842 22365 21609 39 33 26  3  0	
 1  0 1015328 117864 174464 265948    0    0    51   885 22512 21720 37 31 28  3  0	
 2  0 1015328 116980 174876 265996    0    0    51   908 22194 21181 40 34 23  3  0	
 2  0 1015328 117244 175272 266040    0    0    51   929 22533 21747 36 30 30  4  0	
 3  0 1015328 126496 165236 266016    0    0    51  1042 22266 21282 39 33 26  2  0	
 2  0 1015328 126620 165616 266068    0    0    51  7270 22779 20158 41 30 26  2  0	
 2  0 1015328 124752 165964 266100    0    0    51 10321 21688 19264 45 32 21  2  0	
 1  0 1015328 124760 166300 266156    0    0    51 10079 22422 21032 39 30 29  3  0	
 5  0 1015328 121892 166612 266192    0    0    51 10274 22335 21209 38 29 31  2  0	
 4  0 1015328 124264 166952 266240    0    0    51 10336 21697 19646 43 33 22  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 1015328 123552 167280 266284    0    0    51 10618 22245 20262 41 27 29  3  0	
 2  0 1015328 124032 167608 266328    0    0    51 10411 21831 19263 45 34 19  2  0	
 5  0 1015328 123056 167944 266368    0    0    51 10598 22858 20502 41 29 28  2  0	
 7  0 1015328 123148 168264 266420    0    0    51 10298 21918 19081 44 34 20  2  0	
 2  0 1015328 121940 168592 266460    0    0    51 10418 22675 20327 42 27 28  3  0	
 7  0 1015328 120916 168904 266508    0    0    51 10612 21865 19069 44 33 21  2  0	
 6  0 1015328 120684 169232 266540    0    0    51 10558 22245 19710 43 29 26  2  0	
 5  0 1015328 120816 169584 266584    0    0    51  3709 22245 21262 37 32 27  3  0	
 0  0 1015328 119692 169988 266628    0    0    51  1051 22635 22053 36 30 30  4  0	
 6  0 1015328 119956 170400 266672    0    0    51  1187 22182 21031 39 35 23  3  0	
 1  1 1015328 119676 170776 266712    0    0    51   663 22244 21488 39 32 27  2  0	
 5  0 1015328 117528 171172 266752    0    0    51   852 22734 22098 35 29 33  4  0	
 3  1 1015328 117212 171608 266796    0    0    51   912 22202 20959 39 34 24  3  0	
 3  0 1015328 118708 172016 266836    0    0    51   894 22934 22387 36 28 32  4  0	
 3  0 1015328 118096 172408 266888    0    0    51   830 22110 21288 38 33 26  3  0	
