==> /var/local/nectar/log/Supervisor.log.flip <==
12/11/2015 15:55:35.506 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0
12/11/2015 15:55:36.576 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
12/11/2015 15:55:37.122 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4060/4083, binlog inserts=0/96, binlog updates=64499/64618, binlog deletes=126/28, size of data=406, time to fill binlog= 10h 0mn
12/11/2015 15:55:37.507 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=0 memload=0
12/11/2015 15:55:38.017 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:55:42.524 | MatedPairSMPSService(30227) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairSMPSService still alive.
12/11/2015 15:55:42.524 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:55:44.528 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:55:46.531 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:55:47.528 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:55:47.688 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:55:48.411 | FwMySQLClientService(30047) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:55:49.532 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:55:50.034 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:55:50.536 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:55:54.541 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:55:56.252 | MatedPairService(30044) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairService still alive.
12/11/2015 15:55:56.546 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:55:58.255 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4083/4083, binlog inserts=0/84, binlog updates=65095/64644, binlog deletes=126/41, size of data=406, time to fill binlog= 10h 0mn
12/11/2015 15:56:03.986 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:56:04.054 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:56:04.556 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:56:06.560 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:56:12.241 | MatedPairSMPSService(30227) | SYS | INT | DBG | getElapsedMSec() : 1630ms
12/11/2015 15:56:16.575 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=6 cpuload=1 memload=0
12/11/2015 15:56:19.189 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4022/4078, binlog inserts=0/71, binlog updates=64476/64630, binlog deletes=126/53, size of data=382, time to fill binlog= 10h 0mn
12/11/2015 15:56:19.213 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:56:19.715 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=1 memload=0
12/11/2015 15:56:19.715 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=5 cpuload=1 memload=0
12/11/2015 15:56:19.715 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=2 memload=0
12/11/2015 15:56:20.274 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
