procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 918508 126372 212700 331304    0    0    58  1408 21466 20694 29 25 41  5  0	
 6  0 918508 124036 213040 331352    0    0    51   904 21247 20318 30 28 38  4  0	
 2  0 918508 125272 213380 331412    0    0    51   910 21316 20073 32 29 36  3  0	
 5  0 918508 125288 213744 331440    0    0    51   875 21503 20529 29 26 41  4  0	
 0  1 918508 124636 214060 331480    0    0    51  7666 21007 19019 34 31 32  3  0	
 1  0 918508 124908 214404 331516    0    0    51 10444 21050 19536 32 28 35  5  0	
 2  1 918508 123892 214692 331564    0    0    51 10593 20907 19181 34 30 33  4  0	
 3  1 918508 123876 214992 331608    0    0    51 10142 21383 20092 31 26 40  4  0	
 1  0 918508 121752 215284 331648    0    0    51 10626 20770 19022 35 30 33  3  0	
 5  0 918508 121520 215620 332020    0    0   128 10614 20999 19710 33 28 36  3  0	
 3  0 918508 122180 215928 332096    0    0    51 10411 21083 19578 33 29 35  3  0	
 3  0 918508 122272 216224 332136    0    0    51 10176 21256 19731 33 27 38  3  0	
 2  0 918508 121428 216528 332184    0    0    51 10629 20987 19357 33 29 35  3  0	
 1  0 918508 121800 216824 332220    0    0    51 10626 21197 19780 31 27 37  4  0	
 0  0 918508 120924 217120 332276    0    0    51 10390 21005 19441 32 29 35  4  0	
 4  0 918508 120808 217428 332312    0    0    51  3706 21122 20353 30 27 41  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 918508 116356 217756 332340    0    0    51   835 21300 20295 31 29 37  3  0	
 2  0 918508 120296 218112 332380    0    0    51   943 21301 20384 30 27 39  4  0	
 4  0 918508 119452 218432 332440    0    0    51   996 21172 20147 29 28 39  4  0	
 1  0 918508 119600 218732 332472    0    0    51   872 21319 20374 31 28 37  3  0	
 2  0 918508 118824 219088 332508    0    0    51   922 21085 20105 30 29 37  4  0	
 1  0 918508 118856 219452 332548    0    0    51   947 21252 20389 31 29 36  4  0	
 0  0 918508 118080 219792 332592    0    0    51  1001 21232 20357 31 28 37  4  0	
 1  0 918508 127628 210800 332504    0    0    51  2292 21168 19737 33 29 33  4  0	
 7  0 918508 126140 211112 332532    0    0    51  9589 20966 18588 34 27 33  6  0	
 1  0 918508 126520 211428 332588    0    0    51 10561 21019 18148 39 30 28  3  0	
 0  0 918508 125552 211736 332616    0    0    51 10518 21152 19978 30 26 40  3  0	
