procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 973696 121848 210300 300708    0    0    51 10634 20931 19058 33 28 35  4  0	
 0  0 973696 121072 210612 300752    0    0    51 10138 20946 19053 34 27 36  4  0	
 0  0 973696 121344 210928 300792    0    0    51  9533 20969 19555 32 29 36  3  0	
 2  0 973696 120560 211256 300836    0    0    51   666 21446 20506 30 28 39  3  0	
 0  0 973696 120724 211600 300876    0    0    51   875 21537 20486 30 29 37  3  0	
 4  0 973696 119724 211984 300908    0    0    51  1289 21336 20232 30 29 37  4  0	
 9  0 973696 115700 212344 300944    0    0    51   927 21355 20496 30 27 39  4  0	
 2  0 973696 118980 212680 301000    0    0    51   824 20944 20064 30 30 36  4  0	
 0  0 973696 118980 213028 301028    0    0    51   907 21242 20715 29 25 42  4  0	
 3  0 973696 118212 213356 301080    0    0    51  4670 20945 19415 34 29 33  4  0	
 2  0 973696 118484 213708 301112    0    0    51 10790 21333 20335 32 26 37  5  0	
 5  0 973696 117376 213992 301156    0    0    51 10212 20905 18967 34 29 33  3  0	
 0  0 973696 117476 214308 301212    0    0    51 10317 21066 19667 32 28 37  2  0	
 3  1 973696 116616 214612 301240    0    0    51 10451 21042 19351 31 30 35  4  0	
 1  0 973696 116600 214912 301268    0    0    52 10606 21232 19981 31 27 39  3  0	
 3  0 973696 125800 205548 301252    0    0    51 10551 21025 19792 32 29 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 973696 125768 205868 301304    0    0    51 10366 20903 19613 32 27 37  4  0	
 4  1 973696 124800 206192 301336    0    0    52 10600 20853 19287 33 31 32  3  0	
 1  0 973696 123412 206500 301388    0    0    51 10433 20797 19616 31 26 38  4  0	
 2  0 973696 124156 206800 301444    0    0    51 10531 20910 19393 33 30 34  3  0	
 3  1 973696 124296 207124 301496    0    0    53  6754 21307 20275 30 26 41  3  0	
 4  1 973696 123660 207448 301516    0    0    52   750 21249 19956 32 30 36  2  0	
 3  2 973696 123272 207816 301564    0    0    51   897 21237 20362 29 26 41  4  0	
 5  1 973696 118736 208188 301592    0    0    51   920 21384 20504 31 28 37  3  0	
 0  0 973696 122692 208520 301668    0    0    51   877 20977 20068 30 28 38  4  0	
 0  0 973696 121684 208892 301696    0    0    51   915 21079 20359 30 26 39  5  0	
 5  0 973696 121816 209228 301744    0    0    51   931 20756 19837 30 29 36  4  0	
 2  0 973696 121212 209556 301784    0    0    51   905 21290 20579 29 25 42  4  0	
 7  0 973696 121420 209864 301824    0    0    51  1707 21000 19363 33 31 33  4  0	
 4  0 973696 120468 210220 301848    0    0    51  8041 21480 19010 34 26 35  5  0	
 1  1 973696 119692 210540 301896    0    0    51 10275 20983 17978 39 33 25  3  0	
 0  1 973696 119724 210840 301956    0    0    52 10265 21385 19820 33 26 39  3  0	
 6  0 973696 119204 211164 301996    0    0    51 10376 20655 18922 34 30 33  3  0	
 0  0 973696 118708 211476 302040    0    0    52 10124 20919 18900 34 25 37  3  0	
 1  1 973696 118668 211792 302100    0    0    51 10618 20220 17572 38 31 27  3  0	
 2  0 973696 118072 212104 302140    0    0    51 10579 21080 18660 36 27 33  4  0	
 4  0 973696 114048 212436 302180    0    0    52 10622 20914 18103 36 29 32  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 973696 117460 212756 302208    0    0    51 10340 21054 18474 35 28 34  3  0	
 2  0 973696 117352 213068 302264    0    0    52 10406 21210 18443 35 27 35  3  0	
 4  0 973696 116568 213376 302328    0    0    51 10551 20962 17985 37 30 30  3  0	
 5  0 973696 116568 213764 302364    0    0    74 10632 21271 18878 33 26 36  4  0	
 2  0 973696 125140 204372 302164    0    0    52  2414 21384 20381 32 28 37  3  0	
 0  0 973696 126000 204720 302204    0    0    51  1086 21121 20204 30 28 38  4  0	
