procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1001108 120284 273400 283956    0    0    51   980 21277 20804 29 25 42  4  0	
 1  0 1001108 129188 264108 283976    0    0    51  9610 20435 17649 39 31 27  3  0	
 0  0 1001108 128832 264392 284004    0    0    51 10168 21155 19014 32 25 39  4  0	
 8  0 1001108 124528 264680 284052    0    0    58 10421 20715 18023 36 30 31  3  0	
 2  0 1001108 128460 264972 284104    0    0    52 10404 21051 18358 36 27 33  3  0	
 4  2 1001108 127948 265252 284136    0    0    51 10438 21104 18801 35 27 35  3  0	
 5  0 1001108 127816 265520 284196    0    0    51 10102 20884 18183 37 30 30  2  0	
 2  0 1001108 127468 265808 284244    0    0    51 10186 21197 18413 36 26 34  4  0	
 1  0 1001108 127436 266088 284284    0    0    51 10422 20567 17662 38 32 28  2  0	
 0  0 1001108 126600 266376 284328    0    0    51 10608 21117 19327 31 27 38  4  0	
 0  0 1001108 125444 266660 284364    0    0    51  9991 20834 18931 35 29 33  3  0	
 6  0 1001108 125824 266964 284408    0    0    51  8126 21089 19674 31 28 37  3  0	
 3  0 1001108 125980 267260 284444    0    0    51   786 21280 20334 29 29 39  3  0	
 4  1 1001108 125344 267552 284476    0    0    51   918 21320 19945 31 31 35  3  0	
 5  1 1001108 125360 267840 284516    0    0    51  1315 21266 20178 31 30 36  4  0	
 2  0 1001108 124468 268124 284568    0    0    51   971 21380 20245 30 29 37  4  0	
 4  0 1001108 124352 268412 284608    0    0    51   934 21160 20196 31 28 36  5  0	
13  0 1001108 123972 268708 284652    0    0    51   953 21231 20251 29 28 38  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1001108 123584 268996 284696    0    0    51  6244 21301 19468 33 29 34  4  0	
 2  0 1001108 123608 269284 284724    0    0    51 10438 21429 19757 30 27 38  4  0	
 6  0 1001108 120900 269560 284772    0    0    51 10602 21288 19608 32 29 36  3  0	
 8  1 1001108 122756 269840 284804    0    0    51 10113 21257 19792 31 29 37  3  0	
 4  0 1001108 122724 270120 284860    0    0    51 10591 21071 19539 32 28 37  3  0	
 0  0 1001108 122508 270392 284904    0    0    51 10606 21037 19589 33 29 35  3  0	
 4  0 1001108 122344 270680 284936    0    0    58 10640 21030 19612 32 28 37  4  0	
 2  1 1001108 121608 270952 284972    0    0    51 10144 21060 19526 33 29 34  3  0	
 1  0 1001108 119576 271236 285024    0    0    51 10553 21217 19595 31 28 38  4  0	
 3  0 1001108 120400 271508 285060    0    0    51 10618 21407 19715 32 28 37  3  0	
