C	D	E	F	G	H	I	J	K	L
24.8	24.8	22.4	24.8	24.9	24.8	25.9	26.3	25.4	25.2
26.3	32.3	22.2	32.1	24.7	25.3	32.7	24.9	25.3	24.8
35.8	25.3	22.4	23.9	24.9	24.4	26.4	26.8	24.8	31.7
25.8	25.4	24.3	24.9	32.0	31.8	25.3	24.8	31.3	26.4
25.3	24.9	23.7	24.9	25.9	25.9	26.7	26.8	25.8	25.8
24.8	25.4	22.4	24.4	24.9	23.9	25.3	26.3	24.9	25.4
26.3	25.4	22.9	24.9	24.4	24.4	25.4	31.9	26.4	25.3
25.3	23.8	22.4	25.4	23.9	25.3	26.1	25.8	25.3	24.9
24.4	24.8	22.8	28.3	25.2	24.8	25.8	26.2	25.3	24.8
24.4	32.3	22.9	24.8	25.8	25.3		25.8	26.3	25.4
		21.9					26.3		
		27.2							
