2015-11-19 16:43:40	PDLSL1	1918.56M
2015-11-19 16:43:41	PDLSI1	1933.2M
2015-11-19 16:43:41	PDLSU1	4634.8M
2015-11-19 16:48:41	PDLSL1	1918.56M
2015-11-19 16:48:41	PDLSI1	1933.2M
2015-11-19 16:48:41	PDLSU1	4634.8M
2015-11-19 16:53:41	PDLSL1	1918.56M
2015-11-19 16:53:41	PDLSI1	1933.2M
2015-11-19 16:53:41	PDLSU1	4634.8M
2015-11-19 16:58:42	PDLSL1	1918.56M
2015-11-19 16:58:42	PDLSI1	1933.2M
2015-11-19 16:58:42	PDLSU1	4634.8M
2015-11-19 17:03:42	PDLSL1	1918.56M
2015-11-19 17:03:42	PDLSI1	1933.2M
2015-11-19 17:03:42	PDLSU1	4634.8M
2015-11-19 17:08:42	PDLSL1	1934.73M
2015-11-19 17:08:43	PDLSI1	1983.09M
2015-11-19 17:08:43	PDLSU1	4654.8M
2015-11-19 17:13:43	PDLSL1	1934.73M
2015-11-19 17:13:43	PDLSI1	1983.1M
2015-11-19 17:13:43	PDLSU1	4654.8M
2015-11-19 17:18:43	PDLSL1	1934.73M
2015-11-19 17:18:43	PDLSI1	1983.1M
2015-11-19 17:18:43	PDLSU1	4654.8M
2015-11-19 17:23:44	PDLSL1	1934.73M
2015-11-19 17:23:44	PDLSI1	1983.1M
2015-11-19 17:23:44	PDLSU1	4654.8M
