2015-11-19 16:42:45	PDLSL1	1843.67M
2015-11-19 16:42:45	PDLSI1	1985.35M
2015-11-19 16:42:45	PDLSU1	4690.8M
2015-11-19 16:47:46	PDLSL1	1843.67M
2015-11-19 16:47:46	PDLSI1	1985.35M
2015-11-19 16:47:46	PDLSU1	4690.8M
2015-11-19 16:52:46	PDLSL1	1843.67M
2015-11-19 16:52:46	PDLSI1	1985.35M
2015-11-19 16:52:46	PDLSU1	4690.8M
2015-11-19 16:57:46	PDLSL1	1843.67M
2015-11-19 16:57:46	PDLSI1	1985.35M
2015-11-19 16:57:47	PDLSU1	4690.8M
2015-11-19 17:02:47	PDLSL1	1843.67M
2015-11-19 17:02:47	PDLSI1	1985.35M
2015-11-19 17:02:47	PDLSU1	4690.8M
2015-11-19 17:07:47	PDLSL1	1853.7M
2015-11-19 17:07:47	PDLSI1	2005.35M
2015-11-19 17:07:47	PDLSU1	4710.8M
2015-11-19 17:12:47	PDLSL1	1915.27M
2015-11-19 17:12:47	PDLSI1	2038.64M
2015-11-19 17:12:48	PDLSU1	4710.8M
2015-11-19 17:17:48	PDLSL1	1915.27M
2015-11-19 17:17:48	PDLSI1	2038.78M
2015-11-19 17:17:48	PDLSU1	4710.8M
2015-11-19 17:22:48	PDLSL1	1915.27M
2015-11-19 17:22:49	PDLSI1	2038.78M
2015-11-19 17:22:49	PDLSU1	4710.8M
