2015-11-19 16:42:53	PDLSL1	1820.64M
2015-11-19 16:42:53	PDLSI1	1911.51M
2015-11-19 16:42:53	PDLSU1	4614.11M
2015-11-19 16:47:53	PDLSL1	1820.64M
2015-11-19 16:47:54	PDLSI1	1911.51M
2015-11-19 16:47:54	PDLSU1	4614.11M
2015-11-19 16:52:54	PDLSL1	1820.64M
2015-11-19 16:52:54	PDLSI1	1911.51M
2015-11-19 16:52:54	PDLSU1	4614.11M
2015-11-19 16:57:54	PDLSL1	1820.64M
2015-11-19 16:57:54	PDLSI1	1911.51M
2015-11-19 16:57:54	PDLSU1	4614.11M
2015-11-19 17:02:54	PDLSL1	1820.64M
2015-11-19 17:02:55	PDLSI1	1911.56M
2015-11-19 17:02:55	PDLSU1	4614.11M
2015-11-19 17:07:55	PDLSL1	1830.7M
2015-11-19 17:07:55	PDLSI1	1931.56M
2015-11-19 17:07:55	PDLSU1	4634.11M
2015-11-19 17:12:55	PDLSL1	1912.54M
2015-11-19 17:12:55	PDLSI1	1935.43M
2015-11-19 17:12:55	PDLSU1	4634.11M
2015-11-19 17:17:56	PDLSL1	1912.54M
2015-11-19 17:17:56	PDLSI1	1935.43M
2015-11-19 17:17:56	PDLSU1	4634.11M
2015-11-19 17:22:56	PDLSL1	1912.54M
2015-11-19 17:22:56	PDLSI1	1935.43M
2015-11-19 17:22:56	PDLSU1	4634.11M
