procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 1680508 145640 2307128 3266524    0    0    51  2915 8079 7894 20 14 33 33  0	
 1  1 1680508 145348 2307400 3266780    0    0    51  1588 6880 7504 19 10 52 19  0	
 0  1 1680508 143680 2307684 3267016    0    0    51  2724 7663 7578 18 11 50 21  0	
 4  0 1680508 141764 2307968 3267220    0    0    51  1886 7402 7572 17 12 51 19  0	
 0  0 1680508 144144 2308244 3267476    0    0    53   402 7269 7480 19 12 53 16  0	
 3  1 1680508 141516 2308524 3267764    0    0    51  2123 7720 7551 23 12 51 14  0	
 0  0 1680508 143220 2308792 3268060    0    0    51  3406 8316 8225 25 14 29 32  0	
 6  0 1680508 136412 2309088 3268372    0    0    54   926 7527 8426 31 19 42  8  0	
 1  1 1680508 135944 2309372 3268696    0    0    51  2234 7652 8709 34 23 34  8  0	
 5  1 1680508 127116 2309644 3269000    0    0    51  5181 8777 10227 42 41  6 12  0	
 1  2 1680508 140216 2309924 3269308    0    0    91  1382 7482 8282 31 19 37 14  0	
 2  1 1680508 138416 2310204 3269608    0    0    51  2730 8001 8071 29 16 33 22  0	
 2  0 1680508 139044 2310476 3269912    0    0    51  2534 7747 7661 26 12 43 20  0	
 0  0 1680508 138324 2310748 3270228    0    0    57   604 7141 7973 26 13 55  6  0	
 1  1 1680508 137768 2311032 3270536    0    0    51  2405 7721 7720 25 12 44 19  0	
 1  0 1680508 134840 2311308 3270868    0    0    51  2981 7942 8248 25 12 26 37  0	
 3  0 1680508 135968 2311588 3271192    0    0    55   394 6983 7823 27 14 56  3  0	
 1  2 1680508 136380 2311868 3271484    0    0    51  1348 7423 7478 23 10 55 12  0	
 0  1 1680508 135064 2312140 3271776    0    0    51  4102 8061 7721 23 12 40 25  0	
 0  0 1680508 135288 2312420 3272104    0    0    51   443 6996 8147 27 15 49  8  0	
 0  2 1680508 134768 2312708 3272400    0    0    51  2291 7619 7828 24 13 51 12  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 1680508 134388 2312984 3272732    0    0    51  3212 8203 7789 23  9 29 38  0	
 3  0 1680508 128596 2313264 3273032    0    0    54   242 7359 9162 36 29 34  1  0	
