procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 5037960  52276 1245036    0    0     0    15 11078 20343 36 16 46  2  0	
 2  1      0 5038208  52276 1245044    0    0     0     6 11768 20643 36 14 48  1  0	
 2  1      0 5038208  52276 1245048    0    0     0     5 10900 20121 35 13 51  1  0	
 6  0      0 5038332  52276 1245056    0    0     0     1 11327 20208 35 12 52  1  0	
 0  0      0 5037960  52276 1245072    0    0     0     4 11479 20057 38 15 46  2  0	
 2  0      0 5038580  52276 1245076    0    0     0     4 11221 19359 35 12 52  1  0	
 3  0      0 5038580  52280 1245084    0    0     0    15 11386 20080 37 14 48  1  0	
 5  0      0 5035392  52280 1245092    0    0     0     9 11653 20428 38 14 47  1  0	
 1  0      0 5038144  52280 1245104    0    0     0     5 11224 20653 37 14 48  1  0	
 1  0      0 5037772  52280 1245088    0    0     0     2 10998 19845 35 13 52  0  0	
 2  0      0 5038200  52280 1245100    0    0     0     8 11826 20772 39 15 41  4  0	
 1  0      0 5038348  52280 1245116    0    0     0     5 11160 20176 37 12 50  2  0	
 2  0      0 5038348  52280 1245128    0    0     0    14 10949 19735 36 14 47  2  0	
 1  0      0 5038472  52280 1245136    0    0     0     5 11651 19856 36 15 48  1  0	
 2  1      0 5037976  52280 1245148    0    0     0     5 11357 20412 38 13 47  2  0	
 3  0      0 5037976  52280 1245152    0    0     0     5 11140 19709 35 12 52  1  0	
 1  0      0 5038208  52280 1245160    0    0     0     1 11400 19193 36 15 49  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 5038232  52280 1245172    0    0     0     5 11241 20395 36 12 50  1  0	
 1  0      0 5038696  52280 1245180    0    0     0    17 10961 19964 36 14 47  2  0	
 2  0      0 5037944  52280 1245196    0    0     0     6 11675 20541 37 15 46  2  0	
 1  0      0 5038216  52280 1245200    0    0     0     4 11349 20434 37 13 50  0  0	
 0  0      0 5037992  52280 1245208    0    0     0     6 11444 20528 36 13 50  1  0	
13  0      0 5037340  52280 1245220    0    0     0     1 11600 19388 36 14 49  0  0	
 4  0      0 5037624  52280 1245232    0    0     0     6 11429 20592 39 16 45  0  0	
 0  0      0 5037748  52280 1245216    0    0     0    12 11370 20210 37 13 47  3  0	
 2  0      0 5036144  52280 1245224    0    0     0    11 11219 20310 36 13 49  2  0	
 1  0      0 5038076  52280 1245232    0    0     0     6 11854 19601 35 14 48  3  0	
 2  0      0 5037976  52280 1245240    0    0     0     5 11129 20301 36 14 50  1  0	
 0  0      0 5037992  52280 1245244    0    0     0     4 10968 20032 35 13 51  1  0	
 2  1      0 5037620  52280 1245256    0    0     0     4 11771 20051 35 15 46  4  0	
 5  1      0 5037868  52280 1245268    0    0     0    15 10998 19279 35 12 53  1  0	
 2  0      0 5037944  52280 1245276    0    0     0     6 11510 21037 37 13 45  4  0	
 0  0      0 5033740  52280 1245284    0    0     0     0 11853 20180 37 15 48  0  0	
 1  0      0 5033880  52280 1245288    0    0     0     6 11506 21109 37 13 49  1  0	
 2  0      0 5033872  52280 1245296    0    0     0     4 10896 20502 37 12 50  1  0	
 6  0      0 5033996  52280 1245316    0    0     0     7 11546 20003 36 15 48  1  0	
 2  0      0 5034004  52280 1245328    0    0     0    14 10917 19593 35 12 51  2  0	
 7  0      0 5033880  52280 1245332    0    0     0     6 11259 20050 36 12 49  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5033356  52280 1245348    0    0     0     4 11725 19938 39 18 42  1  0	
 1  0      0 5033472  52280 1245352    0    0     0     5 11159 20402 36 14 49  2  0	
 0  0      0 5033676  52280 1245344    0    0     0     6 11402 20408 36 12 51  1  0	
 1  0      0 5033972  52280 1245356    0    0     0     7 11852 20232 38 16 46  1  0	
 4  0      0 5034112  52280 1245368    0    0     0    14 10927 19620 36 12 51  1  0	
 0  0      0 5033864  52280 1245372    0    0     0     5 10968 20368 37 14 48  1  0	
 4  0      0 5033988  52280 1245380    0    0     0     3 11635 20152 36 15 48  1  0	
 3  0      0 5033748  52280 1245388    0    0     0     4 11407 20534 36 13 51  1  0	
 0  0      0 5033632  52280 1245396    0    0     0     1 11260 20087 36 12 50  2  0	
 1  0      0 5034004  52280 1245412    0    0     0     7 11684 20293 37 14 49  1  0	
 1  0      0 5033640  52280 1245428    0    0     0    17 11248 19993 35 12 50  2  0	
 0  0      0 5034012  52280 1245432    0    0     0     7 10921 20515 37 13 49  2  0	
 1  0      0 5033764  52280 1245440    0    0     0     4 11693 20024 37 15 46  2  0	
 2  0      0 5033888  52280 1245448    0    0     0     5 11154 20170 38 14 48  0  0	
 1  0      0 5033888  52280 1245452    0    0     0     5 10909 19920 35 12 52  1  0	
 6  0      0 5033380  52280 1245468    0    0     0     0 11595 19889 39 18 43  0  0	
 1  0      0 5033552  52280 1245476    0    0     0    14 11206 20793 36 14 49  1  0	
 6  0      0 5033652  52280 1245464    0    0     0     8 11277 19836 34 13 50  2  0	
 2  0      0 5033576  52280 1245468    0    0     0     8 11696 20202 37 14 48  2  0	
 3  0      0 5033616  52280 1245484    0    0     0     5 11136 20210 36 13 50  1  0	
 2  0      0 5033648  52280 1245488    0    0     0     3 10790 19516 36 12 49  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 5033772  52280 1245508    0    0     0     8 11491 19498 36 15 48  2  0	
 0  0      0 5033540  52280 1245520    0    0     0     9 10905 19787 36 12 49  2  0	
 6  0      0 5033524  52280 1245528    0    0     0     7 11162 20163 36 13 50  1  0	
 2  0      0 5033796  52280 1245532    0    0     0     5 11606 19467 35 14 50  1  0	
 7  0      0 5033672  52280 1245544    0    0     0    11 11400 21096 37 14 45  4  0	
 2  0      0 5033664  52280 1245552    0    0     0     4 11383 20319 36 13 50  1  0	
 1  0      0 5033788  52280 1245564    0    0     0     1 11436 20428 38 15 45  2  0	
 0  0      0 5034036  52280 1245572    0    0     0    14 11034 20089 35 13 51  1  0	
 3  0      0 5033864  52280 1245584    0    0     0     7 10866 19908 36 13 49  2  0	
 2  0      0 5033492  52280 1245588    0    0     0     8 11660 19674 37 14 48  2  0	
 1  0      0 5033280  52280 1245600    0    0     0     5 11270 20331 37 16 46  1  0	
 2  0      0 5033336  52280 1245608    0    0     0     6 11463 20694 37 12 49  1  0	
 2  0      0 5033484  52280 1245596    0    0     0     6 11750 20132 36 15 48  1  0	
 2  0      0 5033516  52280 1245604    0    0     0    10 11213 19708 36 13 51  0  0	
 2  0      0 5033508  52280 1245612    0    0     0     6 10961 20256 35 12 50  3  0	
 0  0      0 5033384  52280 1245620    0    0     0     6 11429 19753 37 13 48  2  0	
 4  0      0 5033516  52280 1245628    0    0     0     4 11187 20290 36 13 49  2  0	
 2  0      0 5033508  52280 1245636    0    0     0     4 11003 19335 36 12 52  1  0	
 1  0      0 5033756  52280 1245648    0    0     0     6 11791 20451 37 15 47  1  0	
 7  0      0 5033384  52280 1245660    0    0     0    14 11362 19837 36 12 50  1  0	
 0  1      0 5033632  52280 1245668    0    0     0     8 11152 20128 36 13 49  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 5033400  52280 1245676    0    0     0     2 11347 19063 35 13 51  1  0	
 3  0      0 5033524  52280 1245680    0    0     0     6 10835 19068 34 12 53  1  0	
 0  0      0 5033292  52280 1245688    0    0     0     5 11081 20421 36 12 47  4  0	
 1  0      0 5033904  52280 1245708    0    0     0     4 11760 20827 39 16 44  1  0	
 1  0      0 5032600  52280 1245716    0    0     0    18 11262 20648 37 13 47  3  0	
 5  0      0 5033116  52280 1245724    0    0     0     6 11182 20350 38 15 47  1  0	
 0  0      0 5033388  52280 1245740    0    0     0     4 11813 19670 36 14 48  2  0	
 0  0      0 5033436  52280 1245720    0    0     0     0 11587 20276 37 14 50  0  0	
 2  0      0 5033492  52280 1245728    0    0     0     5 11261 19576 36 12 47  5  0	
 2  0      0 5033764  52280 1245740    0    0     0     4 11432 20513 37 15 47  1  0	
 0  0      0 5033300  52280 1245748    0    0     0    14 11235 19939 37 13 48  1  0	
 3  0      0 5034004  52280 1245756    0    0     0     6 11039 20421 37 13 49  1  0	
 3  0      0 5032028  52280 1245764    0    0     0     5 11142 20108 36 12 50  1  0	
 0  0      0 5033648  52280 1245776    0    0     0     4 11834 19508 36 16 47  0  0	
 2  0      0 5033400  52280 1245780    0    0     0     6 11062 19728 35 12 52  1  0	
 2  0      0 5033292  52280 1245800    0    0     0     4 11198 19791 37 12 48  3  0	
 0  0      0 5033292  52280 1245812    0    0     0    14 11681 19900 35 15 49  1  0	
 2  0      0 5033624  52280 1245820    0    0     0     5 11124 20597 35 13 50  2  0	
 2  0      0 5033648  52280 1245828    0    0     0     6 11034 20024 36 12 51  1  0	
 0  0      0 5033408  52280 1245836    0    0     0     1 11497 19856 36 15 49  0  0	
 3  0      0 5030388  52280 1245840    0    0     0     7 11093 20258 37 14 48  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 5033248  52280 1245856    0    0     0     4 11339 20824 37 15 45  4  0	
 1  0      0 5033280  52280 1245848    0    0     0    13 12136 20220 38 17 45  1  0	
 2  0      0 5033444  52280 1245856    0    0     0     6 11424 20433 36 13 45  5  0	
 3  0      0 5033344  52280 1245860    0    0     0     5 11186 19922 35 12 52  1  0	
 0  0      0 5033120  52280 1245872    0    0     0     5 11476 19870 37 15 47  1  0	
 1  0      0 5033236  52280 1245876    0    0     0     3 11107 19766 36 12 52  0  0	
 0  0      0 5033244  52280 1245896    0    0     0     4 11196 20422 37 13 49  2  0	
 3  0      0 5033120  52280 1245912    0    0     0    13 11794 20055 36 16 47  1  0	
 3  0      0 5033220  52280 1245916    0    0     0     6 11298 20592 36 13 49  2  0	
 0  0      0 5033104  52280 1245928    0    0     0     4 11162 19893 34 11 50  4  0	
 0  0      0 5033128  52284 1245936    0    0     0     6 11914 19615 35 16 48  0  0	
 4  0      0 5033120  52284 1245944    0    0     0     8 11553 20482 36 13 49  2  0	
 3  1      0 5033368  52284 1245948    0    0     0     4 10855 19838 35 13 51  1  0	
 0  0      0 5033304  52284 1245960    0    0     0    15 11887 20611 37 17 44  2  0	
 2  0      0 5033304  52284 1245968    0    0     0     9 10838 19910 36 12 50  2  0	
 0  0      0 5033008  52284 1245980    0    0     0     6 11129 20784 38 17 42  4  0	
 1  0      0 5033032  52284 1245988    0    0     0     4 11836 20210 36 15 47  1  0	
 6  0      0 5032916  52284 1245976    0    0     0     5 11631 21173 37 12 48  3  0	
 5  0      0 5033080  52284 1245992    0    0     0     4 10927 19217 35 12 52  1  0	
 2  0      0 5033004  52284 1246004    0    0     0    16 11719 20653 37 14 48  2  0	
 1  0      0 5032996  52284 1246012    0    0     0     8 11090 20024 35 12 51  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 5033144  52284 1246020    0    0     0     5 11073 20303 36 12 52  0  0	
