Linux 2.6.32-504.12.2.el6.x86_64 (ATCA47-0-0-1) 	11/19/15 	_x86_64_	(2 CPU)

11/19/15 16:42:12
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
drbd2             0.00     0.00    0.00   22.00     0.00   176.00     8.00     2.52  114.40   2.11   4.64
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00   14.80     0.00   118.40     8.00     0.15   10.27   1.09   1.62
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.00    0.40     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.01   60.00  60.00   1.20
dm-10             0.00     0.00    0.00    0.80     0.00     6.40     8.00     0.00    4.75   4.75   0.38
drbd3             0.00     0.00    0.00    0.80     0.00     6.40     8.00     0.00    5.25   5.00   0.40
dm-11             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd4             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-12             0.00     0.00    0.00    2.80     0.00    22.40     8.00     0.10   35.21  22.21   6.22
dm-13             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
drbd5             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    9.60     0.00    76.80     8.00     0.49   50.65  20.38  19.56
drbd6             0.00     0.00    0.00    9.60     0.00    76.80     8.00     0.80   82.31  30.77  29.54

11/19/15 16:42:27
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
