procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 146688 4125964 1764652    0    0    51    29 13544 24298 41 17 41  1  0	
 2  0      0 146076 4126220 1764668    0    0    51     9 14352 23695 41 19 40  0  0	
11  0      0 145580 4126484 1764684    0    0    51    13 13485 24089 43 17 40  0  0	
 0  0      0 145704 4126748 1764696    0    0    51    14 13543 24511 41 17 41  0  0	
 1  0      0 145332 4127016 1764716    0    0    51    17 14087 24090 42 20 38  0  0	
 0  0      0 144816 4127284 1764728    0    0    51    10 13311 24179 45 21 33  0  0	
 4  0      0 145056 4127548 1764716    0    0    51    33 13132 23712 42 18 40  0  0	
 0  0      0 144384 4127812 1764728    0    0    51     8 14168 24380 41 19 38  2  0	
 2  0      0 144300 4128076 1764756    0    0    51    11 13628 24162 40 18 42  0  0	
 3  1      0 143960 4128340 1764768    0    0    51    14 13517 23829 42 17 41  0  0	
 8  0      0 143596 4128600 1764796    0    0    51     2 14223 25082 43 19 38  0  0	
 6  0      0 143100 4128864 1764808    0    0    51    22 13624 24879 41 17 40  1  0	
 8  0      0 142604 4129128 1764820    0    0    51    19 13295 24549 42 18 40  0  0	
 0  0      0 142108 4129392 1764832    0    0    51    14 13592 23398 42 20 37  0  0	
 0  0      0 142108 4129656 1764848    0    0    51     4 13259 24516 42 18 40  0  0	
 4  0      0 142108 4129920 1764856    0    0    51    15 13360 23756 42 16 41  0  0	
 2  0      0 141488 4130188 1764872    0    0    51    10 14086 23967 42 19 38  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 141232 4130448 1764892    0    0    51    10 13606 23759 40 17 42  0  0	
 3  0      0 140860 4130720 1764908    0    0    51    19 13457 23499 41 17 42  0  0	
 3  0      0 140984 4130984 1764928    0    0    51    10 14072 24593 42 20 37  0  0	
 7  0      0 140424 4131248 1764940    0    0    51    10 12987 24122 45 21 33  0  0	
 5  0      0 139936 4131512 1764936    0    0    51    18 13492 24588 43 17 39  1  0	
 4  0      0 140292 4131784 1764948    0    0    51    23 14181 24450 43 19 37  0  0	
 0  0      0 140124 4132052 1764960    0    0    51     7 13704 23845 42 17 40  2  0	
 1  0      0 139604 4132316 1764972    0    0    51    18 13473 23806 41 17 41  0  0	
 3  0      0 139380 4132572 1764992    0    0    51     2 14005 24319 41 19 40  0  0	
 1  0      0 138636 4132840 1765004    0    0    51     6 13476 23877 42 17 38  3  0	
 5  0      0 138512 4133360 1765032    0    0   105    13 13402 24445 42 16 42  0  0	
 4  0      0 138116 4133624 1765048    0    0    51    18 13749 23669 40 20 38  2  0	
 2  0      0 137892 4133892 1765068    0    0    51    21 13185 23973 41 16 43  0  0	
 2  0      0 137628 4134156 1765076    0    0    51    15 13308 23974 42 18 40  0  0	
 2  0      0 137148 4134420 1765084    0    0    51     8 14184 25254 44 19 37  0  0	
 3  0      0 136652 4134684 1765108    0    0    51     6 13589 24136 42 18 40  0  0	
 2  0      0 136404 4134948 1765128    0    0    51    12 13538 24384 41 17 42  0  0	
 0  0      0 136396 4135212 1765136    0    0    51    14 13846 23164 41 19 39  1  0	
 3  0      0 132688 4135468 1765156    0    0    51    14 13543 24611 43 18 39  0  0	
 9  0      0 135020 4135732 1765176    0    0    51    25 13259 23989 44 20 36  1  0	
 2  0      0 135068 4136000 1765172    0    0    51    28 14040 24118 42 19 39  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 135164 4136264 1765184    0    0    51     6 13276 23736 41 17 42  0  0	
 1  0      0 135064 4136528 1765196    0    0    51     4 13438 24250 42 17 41  0  0	
 1  0      0 134304 4136792 1765204    0    0    51     6 13822 24354 43 18 38  1  0	
 2  0      0 134196 4137056 1765220    0    0    51    15 13727 25223 41 18 40  0  0	
 4  0      0 133824 4137320 1765240    0    0    51    25 13438 23909 40 17 43  0  0	
 5  0      0 133652 4137584 1765248    0    0    51    12 14000 24631 43 21 35  1  0	
 2  0      0 133776 4137840 1765280    0    0    51    18 13147 23123 40 16 44  0  0	
 4  0      0 133784 4138108 1765296    0    0    51    12 13453 25343 43 18 39  0  0	
 5  0      0 133280 4138372 1765312    0    0    51     7 13582 23694 41 18 41  0  0	
 6  0      0 133304 4138640 1765324    0    0    51    15 13577 24070 43 18 38  1  0	
 0  0      0 132940 4138904 1765344    0    0    51    13 13442 23333 41 17 42  0  0	
 0  0      0 132056 4139172 1765352    0    0    51    19 13817 23359 40 19 40  1  0	
 2  0      0 131948 4139436 1765356    0    0    51    10 13854 25334 42 18 40  0  0	
 0  0      0 131456 4139692 1765380    0    0    51     6 13324 24651 46 21 33  0  0	
 2  0      0 160736 4110276 1765480    0    0    51    20 14106 24815 42 19 38  0  0	
 0  0      0 160312 4110540 1765388    0    0    51    16 13581 23963 41 17 41  0  0	
