procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 4533552  52924 1707156    0    0     0    18 13214 23258 42 18 40  1  0	
 0  1      0 4533560  52924 1707160    0    0     0     6 12699 22746 40 15 43  2  0	
 1  0      0 4533320  52924 1707180    0    0     0     1 12691 22433 40 16 44  0  0	
 1  0      0 4533816  52924 1707192    0    0     0     6 13117 23096 42 17 41  1  0	
 3  0      0 4533452  52924 1707204    0    0     0     5 12523 22449 39 15 45  1  0	
 1  0      0 4533196  52928 1707208    0    0     0     6 12700 22708 41 16 43  1  0	
 1  0      0 4534056  52928 1707220    0    0     0    14 13240 23986 42 19 39  0  0	
 3  0      0 4533848  52928 1707228    0    0     0     9 12616 22145 39 14 44  3  0	
 1  0      0 4533584  52928 1707232    0    0     0     9 12991 23268 40 17 43  0  0	
 0  0      0 4533600  52928 1707240    0    0     0     0 13355 21982 39 17 44  0  0	
 4  0      0 4533348  52928 1707252    0    0     0     7 12310 22163 43 20 37  1  0	
 2  0      0 4533084  52928 1707260    0    0     0     6 12629 21986 38 15 46  1  0	
 0  0      0 4533520  52928 1707248    0    0     0    13 13407 23217 41 18 41  0  0	
 1  0      0 4533460  52928 1707256    0    0     0     8 12569 21690 39 15 44  2  0	
 5  0      0 4533096  52928 1707272    0    0     0     6 12718 22504 39 17 44  0  0	
 2  0      0 4533360  52928 1707284    0    0     0     5 13462 22288 40 17 43  1  0	
 0  0      0 4533360  52928 1707296    0    0     0    10 12600 22308 40 16 44  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4533732  52928 1707308    0    0     0     6 12997 23455 42 16 40  2  0	
 1  0      0 4533972  52928 1707316    0    0     0    10 13224 22706 40 19 42  0  0	
 3  0      0 4533352  52928 1707328    0    0     0     7 12856 23589 41 17 42  1  0	
 7  0      0 4533460  52928 1707336    0    0     0     5 12601 22699 41 16 42  1  0	
 5  0      0 4533476  52928 1707348    0    0     0     4 13057 22146 41 17 41  1  0	
 3  0      0 4533360  52928 1707356    0    0     0     6 12841 22859 41 16 42  1  0	
 2  0      0 4531616  52928 1707364    0    0     0    12 12320 21922 38 18 43  1  0	
 6  0      0 4533484  52928 1707372    0    0     0    13 13347 22750 41 18 41  1  0	
