C	D	E	F	G	H	I	J	K	L
0.5	0.5	0.5	0.5	1.0	1.0	0.5	1.0	1.5	1.0
1.0	1.0	1.0	1.5	1.0	1.0	1.0	1.0	0.5	1.0
1.5	1.0	0.5	1.0	1.0	0.5	1.0	0.5	1.0	0.5
0.5	0.5	1.0	1.0	1.0	1.5	1.0	1.5	1.0	1.5
1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0
1.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5
1.0	1.5	0.5	0.5	0.5	1.0	1.0	0.5	1.0	1.0
1.5	1.0	1.5	1.0	1.5	1.0	1.0	1.0	1.0	1.5
0.5	0.5	1.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0
1.5	1.5		1.0	0.5	1.0		1.4	0.5	1.0
							1.0		
