2015-11-19 16:43:09	PDLSL1	1918.67M
2015-11-19 16:43:10	PDLSI1	1937.17M
2015-11-19 16:43:10	PDLSU1	4688.75M
2015-11-19 16:48:10	PDLSL1	1918.67M
2015-11-19 16:48:10	PDLSI1	1937.17M
2015-11-19 16:48:10	PDLSU1	4688.75M
2015-11-19 16:53:10	PDLSL1	1918.67M
2015-11-19 16:53:10	PDLSI1	1937.17M
2015-11-19 16:53:10	PDLSU1	4688.75M
2015-11-19 16:58:10	PDLSL1	1918.67M
2015-11-19 16:58:10	PDLSI1	1937.17M
2015-11-19 16:58:10	PDLSU1	4688.75M
2015-11-19 17:03:11	PDLSL1	1918.67M
2015-11-19 17:03:11	PDLSI1	1937.17M
2015-11-19 17:03:11	PDLSU1	4688.75M
2015-11-19 17:08:11	PDLSL1	1928.68M
2015-11-19 17:08:11	PDLSI1	1957.17M
2015-11-19 17:08:11	PDLSU1	4682.86M
2015-11-19 17:13:11	PDLSL1	1965.98M
2015-11-19 17:13:11	PDLSI1	1961.18M
2015-11-19 17:13:11	PDLSU1	4682.86M
2015-11-19 17:18:12	PDLSL1	1965.98M
2015-11-19 17:18:12	PDLSI1	1961.28M
2015-11-19 17:18:12	PDLSU1	4682.86M
2015-11-19 17:23:12	PDLSL1	1965.98M
2015-11-19 17:23:12	PDLSI1	1961.29M
2015-11-19 17:23:12	PDLSU1	4682.86M
