2015-11-19 16:43:01	PDLSL1	1768.95M
2015-11-19 16:43:02	PDLSI1	1885.29M
2015-11-19 16:43:02	PDLSU1	4605.9M
2015-11-19 16:48:02	PDLSL1	1768.95M
2015-11-19 16:48:02	PDLSI1	1885.3M
2015-11-19 16:48:02	PDLSU1	4605.9M
2015-11-19 16:53:02	PDLSL1	1768.95M
2015-11-19 16:53:02	PDLSI1	1885.3M
2015-11-19 16:53:02	PDLSU1	4605.9M
2015-11-19 16:58:03	PDLSL1	1768.95M
2015-11-19 16:58:03	PDLSI1	1885.34M
2015-11-19 16:58:03	PDLSU1	4605.9M
2015-11-19 17:03:03	PDLSL1	1768.95M
2015-11-19 17:03:03	PDLSI1	1885.44M
2015-11-19 17:03:03	PDLSU1	4605.9M
2015-11-19 17:08:03	PDLSL1	1778.98M
2015-11-19 17:08:03	PDLSI1	1905.49M
2015-11-19 17:08:04	PDLSU1	4625.9M
2015-11-19 17:13:04	PDLSL1	1792.75M
2015-11-19 17:13:04	PDLSI1	1938.61M
2015-11-19 17:13:04	PDLSU1	4625.9M
2015-11-19 17:18:04	PDLSL1	1792.75M
2015-11-19 17:18:04	PDLSI1	1938.61M
2015-11-19 17:18:05	PDLSU1	4625.9M
2015-11-19 17:23:05	PDLSL1	1792.75M
2015-11-19 17:23:05	PDLSI1	1938.61M
2015-11-19 17:23:05	PDLSU1	4625.9M
