2015-11-19 16:43:33	PDLSL1	1891.43M
2015-11-19 16:43:33	PDLSI1	1956.11M
2015-11-19 16:43:33	PDLSU1	4669.32M
2015-11-19 16:48:34	PDLSL1	1891.43M
2015-11-19 16:48:34	PDLSI1	1956.11M
2015-11-19 16:48:34	PDLSU1	4669.32M
2015-11-19 16:53:34	PDLSL1	1891.43M
2015-11-19 16:53:34	PDLSI1	1956.11M
2015-11-19 16:53:34	PDLSU1	4669.32M
2015-11-19 16:58:35	PDLSL1	1891.43M
2015-11-19 16:58:35	PDLSI1	1956.11M
2015-11-19 16:58:35	PDLSU1	4669.32M
2015-11-19 17:03:35	PDLSL1	1891.43M
2015-11-19 17:03:35	PDLSI1	1956.11M
2015-11-19 17:03:35	PDLSU1	4669.32M
2015-11-19 17:08:35	PDLSL1	1983.33M
2015-11-19 17:08:36	PDLSI1	2009.46M
2015-11-19 17:08:36	PDLSU1	4671.57M
2015-11-19 17:13:36	PDLSL1	1983.33M
2015-11-19 17:13:36	PDLSI1	2009.46M
2015-11-19 17:13:36	PDLSU1	4671.57M
2015-11-19 17:18:36	PDLSL1	1961.99M
2015-11-19 17:18:36	PDLSI1	2009.46M
2015-11-19 17:18:36	PDLSU1	4671.57M
2015-11-19 17:23:37	PDLSL1	1961.99M
2015-11-19 17:23:37	PDLSI1	2009.46M
2015-11-19 17:23:37	PDLSU1	4671.57M
